epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,137.895,1.23466,1.26731,4.38138,1.4367,0.00795,1,0.04556,0.03012,0.17983,0.05556,0.16204,0.05513,0.93192,0.52927,3.45907,1.15869,1.667e-05,1.667e-05,1.667e-05
2,298.36,1.06198,0.59202,2.35489,1.35507,0.89449,0.83333,0.9161,0.70814,0.89449,0.83333,0.9161,0.71902,0.91323,0.23348,1.39574,1.06416,4.5059e-05,4.5059e-05,4.5059e-05
3,458.586,0.74402,0.50247,1.25042,1.12403,0.77746,1,0.8981,0.77083,0.77746,1,0.8981,0.73596,0.62901,0.23943,1.49014,0.84074,6.68467e-05,6.68467e-05,6.68467e-05
4,597.065,0.55203,0.52356,1.0269,0.9196,0.96088,1,0.995,0.83733,0.96088,1,0.995,0.84407,0.71977,0.18757,1.0253,0.86311,8.20331e-05,8.20331e-05,8.20331e-05
5,734.036,0.50606,0.3969,0.83641,0.94137,0.97968,1,0.995,0.88012,0.97968,1,0.995,0.83331,0.53375,0.20088,0.77871,0.76994,9.06181e-05,9.06181e-05,9.06181e-05
6,875.698,0.5133,0.3142,0.75326,0.88247,0.98729,1,0.995,0.92493,0.98729,1,0.995,0.85896,0.42815,0.13609,0.60897,0.73203,9.26019e-05,9.26019e-05,9.26019e-05
7,1008.47,0.5282,0.35258,0.69329,0.89335,0.98516,1,0.995,0.92305,0.98516,1,0.995,0.86719,0.47536,0.1985,0.5893,0.72715,8.79843e-05,8.79843e-05,8.79843e-05
8,1165.93,0.48858,0.39891,0.66164,0.92432,0.98174,1,0.995,0.91375,0.98174,1,0.995,0.84191,0.47514,0.20798,0.59892,0.7279,7.67654e-05,7.67654e-05,7.67654e-05
9,1308.04,0.40406,0.25914,0.59474,0.82394,0.98064,1,0.995,0.90721,0.98064,1,0.995,0.85031,0.43681,0.20804,0.55552,0.71147,5.89451e-05,5.89451e-05,5.89451e-05
10,1448.48,0.42786,0.39642,0.58277,0.85735,0.98338,1,0.995,0.9064,0.98338,1,0.995,0.84677,0.42212,0.2131,0.53004,0.7115,3.45236e-05,3.45236e-05,3.45236e-05
